,internal_id,h3_index,latitude,longitude,name,tags,categories,place_id,address,timezone,temporarily_closed,permanently_closed,inside_of,price_level,contact_phone,contact_website,number_of_reviews,rating_stars,spending_time_min,spending_time_max,has_popularity,has_opening_hours,has_waiting_time
513,0x130e5b218bf2c4ab:0x5ef3ef0bb0412de3,8f3f304e9c8dd93,35.8748784,14.5259416,The Knot,{wedding_servicehat_shopmens_clothing_storewedding_dress_rental_service},{shoppingservice},ChIJq8TyiyFbDhMR4y1BsAvv814,{Vjal KottonerFguraMalta},Europe/Malta,False,False,,,35621661699.0,http://www.theknotmalta.com/,112.0,4.5,20.0,20.0,True,True,True
514,0x130e5b21929b4e45:0xd40dc49dde42fd65,8f3f304e9c910ce,35.873863799999995,14.523992100000001,Big Beeper Ironmongery,{hardware_store},{wholesaler},ChIJRU6bkiFbDhMRZf1C3p3EDdQ,{Vjal KottonerFguraMalta},Europe/Malta,False,True,,,35621822924.0,,16.0,4.4,,,False,True,False
515,0x130e5a5844d900ab:0x4c66f049e1427b06,8f3f304ea29cb9c,35.8469803,14.502904000000001,Gudja,,,ChIJqwDZRFhaDhMRBntC4UnwZkw,{Malta},Europe/Malta,False,False,,,,,,,,,False,False,False
516,0x130e5a5eab46a325:0x77a34e60e88f1c6d,8f3f304ea39b75d,35.8487549,14.501356900000001,Gnien Raymond Caruana,{garden},{recreation},ChIJJaNGq15aDhMRbRyP6GBOo3c,{Triq San MarkGudjaMalta},Europe/Malta,False,False,,,,,,,,,False,False,False
517,0x130e5a5ed8529103:0x2e7f33ca7cd2151c,8f3f304ea3a2582,35.8511931,14.499716500000002,Scicluna Farmhouse,{maltese_restaurantmediterranean_restaurant},{food},ChIJA5FS2F5aDhMRHBXSfMozfy4,{Dawret Il-GudjaGudjaMalta},Europe/Malta,False,False,,1.0,35699964200.0,,438.0,4.3,150.0,240.0,False,True,False
518,0x130e5a65460a0b69:0xd2a2e4e441bc150e,8f3f304ea48ea40,35.843786200000004,14.485432399999999,Hal Kirkop,,,ChIJaQsKRmVaDhMRDhW8QeTkotI,{Malta},Europe/Malta,False,False,,,,,,,,,False,False,False
519,0x130e5a8ec9e0f7c9:0xfb517af40ed5ce6f,8f3f304ea983248,35.8611876,14.4883325,MUSEUM Luqa,{youth_organization},{misc},ChIJyffgyY5aDhMRb87VDvR6Ufs,{35 Triq Ir-RixtelluLuqaMalta},Europe/Malta,False,False,,,,,1.0,5.0,,,False,False,False
520,0x130e5af0ce05e911:0x558aa5f9b62f3e3,8f3f304eaac2a8e,35.856142,14.50436,Santa Luċija,,,ChIJEekFzvBaDhMR4_Nim1-qWAU,{Malta},Europe/Malta,False,False,,,,http://www.santalucija.gov.mt/,,,,,False,False,False
521,0x130e5af23ba60c5d:0x936157b5db739a1d,8f3f304eab2e4c4,35.862823600000006,14.5005446,St Thomas More College Secondary School,{school},{education},ChIJXQymO_JaDhMRHZpz27VXYZM,{VG72+46FSanta LuċijaMalta},Europe/Malta,False,False,,,35625986350.0,https://edumalta.gov.mt/en/schools/state-schools/st-thomas-more-college-santa-lucija-ss,1.0,5.0,,,False,True,False
522,0x130e5b6b1d7d1bc1:0xceb78d8342adc064,8f3f304ead40b5c,35.85882120000001,14.4859447,Pyramid childcare,{nursery_school},{education},ChIJwRt9HWtbDhMRZMCtQoONt84,{55 Triq Ċensu DecandiaLuqaMalta},Europe/Malta,False,False,,,35677037232.0,,,,,,False,True,False
523,0x130e5b00ee716d25:0x56abd1122d66f6e0,8f3f304eb0ac08d,35.8525924,14.5221309,Lidl,{discount_supermarket},{groceries},ChIJJW1x7gBbDhMR4PZmLRLRq1Y,{Tal-Barrani Road snc Ghaxaq (ZejtunBBG06Malta},Europe/Malta,False,False,,,,http://www.lidl.it/,2192.0,4.3,30.0,30.0,True,True,True
524,0x130e5b0ef878cc63:0xa42ccd676853d38a,8f3f304eb3413a5,35.8548714,14.536396900000002,Żejtun,,,ChIJY8x4-A5bDhMRitNTaGfNLKQ,{Malta},Europe/Malta,False,False,,,,http://www.zejtunlocalcouncil.com/,,,,,False,False,False
525,0x130e5a55b3ace55f:0x38f3c21c65e3eed1,8f3f304eb425791,35.84968189999999,14.5150907,St. Philip Pharmacy,{pharmacy},{medical},ChIJX-Wss1VaDhMR0e7jZRzC8zg,{CeppunĦal GħaxaqMalta},Europe/Malta,False,False,,,35621808723.0,http://www.stphilippharmacy.com/,33.0,4.8,15.0,60.0,True,True,True
526,0x130e5a538a6193e3:0xd7b1332ee9fd5801,8f3f304eb4d20c4,35.8440359,14.516009,Ħal Għaxaq,,,ChIJ45NhilNaDhMRAVj96S4zsdc,{Malta},Europe/Malta,False,False,,,,,,,,,False,False,False
527,0x130e5a54ab21b5ff:0x1f348fb6aa197543,8f3f304eb4ed71a,35.8465468,14.518831900000002,Informatica,{computer_support_and_services},{service},ChIJ_7Uhq1RaDhMRQ3UZqraPNB8,{31 Triq Il BwarĦal GħaxaqMalta},Europe/Malta,False,False,,,35679529151.0,http://www.informatica.com.mt/,5.0,4.6,,,False,False,False
528,0x130e5be1f6cdfbe5:0x9511daa47b09ca3a,8f3f304eb8ab54e,35.8604068,14.520223399999999,Saint James Hospital,{hospital},{medical},ChIJ5fvN9uFbDhMROsoJe6TaEZU,{3 Triq Tal-HotbaŻejtun 9090Malta},Europe/Malta,False,False,,,35623291000.0,https://stjameshospital.com/,33.0,4.0,,,False,True,False
529,0x130e5b74da0222b5:0xc1a381e3c7d7a071,8f3f304eb90a480,35.86485,14.519639600000001,Medelec Switchgear Ltd,{manufacturer},{service},ChIJtSIC2nRbDhMRcaDXx-OBo8E,{Bulebel Industrial EstateB33Żejtun ZTN 3000Malta},Europe/Malta,False,False,,,35621693750.0,http://www.medelec-switchgear.com/,1.0,5.0,,,False,True,False
